id_registro,fecha_movimiento,personal_rol,personal_especialidad,area_nombre,cama_serie,cama_tipo,cama_tiene_sabana,cama_esta_ocupada
REG-100000,2026-05-01 08:00:00,MEDICO,Anestesiologo,Atencion Prioritaria,CAM-533,camilla,Si,Ocupada
REG-100001,2026-05-01 08:00:35,MEDICO,Pediatra,Finanzas,CAM-649,Cuna Pediatrica,Si,NO
REG-100002,2026-05-01 08:01:10,ADMINISTRATIVO,facturacion,Uci Pediatria,CAM-535,Hospitalaria Estandar,SÍ,Desocupada
REG-100003,2026-05-01 08:01:45,MEDICO,Cirujano General,Area Administrativa,CAM-331,Camilla de Transporte,SI,NO
REG-100004,2026-05-01 08:02:20,ADMINISTRATIVO,Facturacion,Atencion Prioritaria,CAM-741,Cama UCI Electrica,SI,Desocupada
REG-100005,2026-05-01 08:02:55,FINANZAS,Contabilidad,Area Administrativa,CAM-211,Camilla de Transporte,SÍ,Ocupada
REG-100006,2026-05-01 08:03:30,MEDICO,Pediatra,Finanzas,CAM-374,Cuna Pediatrica,Si,Ocupada
REG-100007,2026-05-01 08:04:05,MEDICO,urgenciologo,UCI Adultos,CAM-175,Cama UCI Electrica,SÍ,Ocupada
REG-100008,2026-05-01 08:04:40,FINANZAS,Contabilidad,Area Administrativa,CAM-355,Cuna Pediatrica,NO,SI
REG-100009,2026-05-01 08:05:15,ADMINISTRATIVO,Facturacion,URGENCIAS,CAM-860,Camilla de Transporte,SÍ,NO
REG-100010,2026-05-01 08:05:50,ADMINISTRATIVO,Talento Humano,UCI Adultos,CAM-262,camilla,no,Desocupada
REG-100011,2026-05-01 08:06:25,ADMINISTRATIVO,Facturacion,atencion prioritaria,CAM-555,Camilla de Transporte,Si,SI
REG-100012,2026-05-01 08:07:00,FINANZAS,Costos e Insumos,Piso 3 - Hospitalizacion,,Cuna Pediatrica,no,Ocupada
REG-100013,2026-05-01 08:07:35,MEDICO,,atencion prioritaria,CAM-844,camilla,,Ocupada
REG-100014,2026-05-01 08:08:10,MEDICO,Cirujano General,sala de operaciones,CAM-560,Cama UCI Electrica,Si,Ocupada
REG-100015,2026-05-01 08:08:45,MEDICO,Urgenciologo,atencion prioritaria,CAM-365,Camilla de Transporte,,SI
REG-100016,2026-05-01 08:09:20,ADMINISTRATIVO,Talento Humano,URGENCIAS,CAM-416,,NO,NO
REG-100017,2026-05-01 08:09:55,MEDICO,Urgenciologo,Atencion Prioritaria,CAM-649,camilla,SI,Desocupada
REG-100018,2026-05-01 08:10:30,ADMINISTRATIVO,Facturacion,Piso 3 - Hospitalizacion,CAM-497,Camilla de Transporte,Si,Ocupada
REG-100019,2026-05-01 08:11:05,FINANZAS,contabilidad,Area Administrativa,CAM-246,Hospitalaria Estandar,Si,NO
REG-100020,2026-05-01 08:11:40,MEDICO,CIRUJANO,Area Administrativa,CAM-756,Cama UCI Electrica,,SI
REG-100021,2026-05-01 08:12:15,ADMINISTRATIVO,Admitido,sala de operaciones,CAM-916,camilla,no,NO
REG-100022,2026-05-01 08:12:50,FINANZAS,contabilidad,URGENCIAS,,Hospitalaria Estandar,,SI
REG-100023,2026-05-01 08:13:25,MEDICO,CIRUJANO,URGENCIAS,CAM-932,Hospitalaria Estandar,no,Ocupada
REG-100024,2026-05-01 08:14:00,MEDICO,,Piso 3 - Hospitalizacion,CAM-744,camilla,,SI
REG-100025,2026-05-01 08:14:35,ADMINISTRATIVO,Auditoria Medica,UCI Adultos,CAM-990,Hospitalaria Estandar,,Desocupada
REG-100026,2026-05-01 08:15:10,MEDICO,Anestesiologo,URGENCIAS,CAM-950,Camilla de Transporte,SÍ,NO
REG-100027,2026-05-01 08:15:45,MEDICO,Pediatra,Pasillo Urgencias,CAM-796,Camilla de Transporte,SI,SI
REG-100028,2026-05-01 08:16:20,MEDICO,CIRUJANO,Pasillo Urgencias,CAM-759,camilla,NO,Desocupada
REG-100029,2026-05-01 08:16:55,ADMINISTRATIVO,facturacion,Atencion Prioritaria,CAM-809,Cuna Pediatrica,,NO
REG-100030,2026-05-01 08:17:30,MEDICO,urgenciologo,URGENCIAS,CAM-524,Camilla de Transporte,NO,SI
REG-100031,2026-05-01 08:18:05,FINANZAS,Costos e Insumos,Area Administrativa,CAM-637,Cama UCI Electrica,Si,Ocupada
REG-100032,2026-05-01 08:18:40,ADMINISTRATIVO,Auditoria Medica,Uci Pediatria,CAM-939,Camilla de Transporte,SÍ,NO
REG-100033,2026-05-01 08:19:15,FINANZAS,Tesoreria,Pasillo Urgencias,CAM-256,,,NO
REG-100034,2026-05-01 08:19:50,ADMINISTRATIVO,facturacion,URGENCIAS,,Cama UCI Electrica,,SI
REG-100035,2026-05-01 08:20:25,MEDICO,urgenciologo,atencion prioritaria,,Camilla de Transporte,,Desocupada
REG-100036,2026-05-01 08:21:00,MEDICO,Urgenciologo,sala de operaciones,CAM-999,Cuna Pediatrica,NO,SI
REG-100037,2026-05-01 08:21:35,FINANZAS,Facturacion,SALA DE OPERACIONES,CAM-586,camilla,SÍ,Ocupada
REG-100038,2026-05-01 08:22:10,MEDICO,Anestesiologo,Urgencias,CAM-846,Cuna Pediatrica,no,Desocupada
REG-100039,2026-05-01 08:22:45,ADMINISTRATIVO,Auditoria Medica,Piso 3 - Hospitalizacion,CAM-271,camilla,SI,Desocupada
REG-100040,2026-05-01 08:23:20,FINANZAS,contabilidad,URGENCIAS,CAM-315,camilla,NO,NO
REG-100041,2026-05-01 08:23:55,ADMINISTRATIVO,facturacion,Pasillo Urgencias,CAM-332,Hospitalaria Estandar,NO,NO
REG-100042,2026-05-01 08:24:30,MEDICO,Anestesiologo,Atencion Prioritaria,CAM-408,camilla,SÍ,SI
REG-100043,2026-05-01 08:25:05,FINANZAS,Tesoreria,SALA DE OPERACIONES,,Cuna Pediatrica,Si,Desocupada
REG-100044,2026-05-01 08:25:40,ADMINISTRATIVO,facturacion,Piso 3 - Hospitalizacion,CAM-290,Camilla de Transporte,,NO
REG-100045,2026-05-01 08:26:15,ADMINISTRATIVO,facturacion,Piso 3 - Hospitalizacion,CAM-478,Hospitalaria Estandar,Si,SI
REG-100046,2026-05-01 08:26:50,ADMINISTRATIVO,Facturacion,UCI Adultos,CAM-674,Camilla de Transporte,no,NO
REG-100047,2026-05-01 08:27:25,FINANZAS,Tesoreria,SALA DE OPERACIONES,CAM-890,Cuna Pediatrica,SI,SI
REG-100048,2026-05-01 08:28:00,MEDICO,Anestesiologo,Pasillo Urgencias,CAM-902,Hospitalaria Estandar,SÍ,Desocupada
REG-100049,2026-05-01 08:28:35,MEDICO,Anestesiologo,sala de operaciones,CAM-682,Cuna Pediatrica,SÍ,NO
